id,name,muscleGroup,exerciseType,defaultSets,defaultReps,defaultDuration,durationUnit,defaultWeight,startingWeightNote,tutorialVideoUrl,instructionPhotos,thumbnailPhotoIndex,instructions
rowing,Rowing,Full body,cardio,1,,5.0,min,,5-8 min,,/exercise-photos/rowing/1.jpg,0,"Choose 1 of the following activities - according to taste or available equipment. The goal is to increase the heart rate, sweat slightly, move the whole body and prepare the muscles for the next part of the training (mobility, activation, main part).

Great for the whole body, engages arms, back, legs and core. Start slower and gradually increase the intensity."
treadmill,Treadmill,Full body,cardio,1,,5.0,min,,5-10 min brisk walking or light jogging,,/exercise-photos/treadmill/1.jpg,0,Suitable for complete beginners and advanced users. Adjust the incline or speed according to your fitness level.
elliptical-trainer,Elliptical trainer,Full body,cardio,1,,5.0,min,,5-8 min,,/exercise-photos/elliptical-trainer/1.jpg,0,"Gentle on the joints, excellent for warming up the legs and arms. Set a moderate resistance."
fitness-stairs,Fitness stairs,Full body,cardio,1,,3.0,min,,3-6 min,,/exercise-photos/fitness-stairs/1.jpg,0,Intensive heating of the lower body. Excellent for activating the buttocks and thighs. You can change the pace.
jump-lunges,Jump lunges,Full body,cardio,3,,30.0,sec,,3×30 s (with pauses),,/exercise-photos/jump-lunges/1.jpg,0,"Dynamic exercise for the more advanced. Significantly activates the buttocks, legs and mid-body. For beginners, replace with classic lunges."
exercise-with-ropes,Exercise with ropes,Full body,cardio,3,,20.0,sec,,3×20–30 s,,,,"Explosive warm-up with an emphasis on the upper body. It engages the shoulders, back and mid-body. Excellent for circuit training."
foot-massage-activation-with-a-mini-roller-or-ball,Foot massage/activation with a mini roller or ball,Full body,stretch,3,,30.0,sec,,Each foot 30-60 s,,/exercise-photos/foot-massage-activation-with-a-mini-roller-or-ball/1.jpg,0,"Massage using a roller (so-called self-myofascial release) serves to:
🌀 Release of muscle tension and fascia
🌀Improving blood flow and faster muscle activation
🌀Improving range of motion
🌀Reducing the risk of injury during subsequent training
It is advisable to include it after a light warm-up and before dynamic mobility. It is a good idea to massage each area for about 30-60 seconds or until the tension is relieved.

Target area: Foot

Great for foot activation, relieves flat feet, hallux valgus, heel pain."
calf-massage-activation,Calf massage/activation,Full body,stretch,3,,30.0,sec,,30–60 s each leg,,/exercise-photos/calf-massage-activation/1.jpg,0,"Target area: Calf

Relieves tension after walking or running, often overloaded with a sedentary lifestyle."
massage-activation-back-of-thigh-hamstrings,Massage/activation - back of thigh (hamstrings),Full body,stretch,3,,30.0,sec,,30–60 s each leg,,/exercise-photos/massage-activation-back-of-thigh-hamstrings/1.jpg,0,"Target area: The back of the thighs / buttocks

It helps with mobility and prepares the legs for squats and pull-ups."
massage-activation-buttocks,Massage/activation - buttocks,Full body,stretch,3,,30.0,sec,,30–60 s each side,,/exercise-photos/massage-activation-buttocks/1.jpg,0,"Target area: The back of the thighs / buttocks

Relaxing your glutes will improve activation in exercises like squats and hip thrusts."
massage-activation-shins,Massage/activation - shins,Full body,stretch,3,,30.0,sec,,30 s each leg,,/exercise-photos/massage-activation-shins/1.jpg,0,"Target area: Front of thighs

Helps with shin splints, suitable for e.g. runners."
massage-activation-tfl-itb,Massage/Activation - TFL / ITB,Full body,stretch,3,,30.0,sec,,30–60 s each leg,,/exercise-photos/massage-activation-tfl-itb/1.jpg,0,"Target area: Front of thighs

A frequent source of tension in women, overloaded with weak activation of the buttocks. Light pressure, not through pain!"
massage-activation-front-thigh,Massage/activation - Front thigh,Full body,stretch,3,,30.0,sec,,30–60 s each leg,,/exercise-photos/massage-activation-front-thigh/1.jpg,0,"Target area: Front of thighs

Quadriceps release, suitable before squats or leg presses. If the area is very sensitive, start with less pressure."
inner-thigh-massage-activation,Inner thigh massage/activation,Full body,stretch,3,,30.0,sec,,30–60 s each leg,,/exercise-photos/inner-thigh-massage-activation/1.jpg,0,"Target area: Inner thighs

Suitable for improving hip mobility and activating adductors. Take it slow and breathe deeply."
lower-back-massage,Lower back massage,Full body,stretch,3,,20.0,sec,,"20-30 seconds, gently",,/exercise-photos/lower-back-massage/1.jpg,0,"Target area: Lower back

Carefully! Rather use a soft roller, do not exercise through pain. The goal is gentle mobilization, not forceful pressure."
massage-the-chest-part-of-the-back,Massage the chest part of the back,Full body,stretch,3,,30.0,sec,,30–60 s,,/exercise-photos/massage-the-chest-part-of-the-back/1.jpg,0,"Target area: Back

Excellent for posture, relaxes the thoracic spine after long periods of sitting. You can bend your back slightly over the roller."
neck-massage,Neck massage,Full body,stretch,3,,20.0,sec,,20-30 s each side,,,,"Target area: Neck

Gentle pressure with a ball or hands. Great for tension or headaches. Don't use too much pressure, avoid the spine."
extensions-with-an-emphasis-on-ankle-movement,Extensions with an emphasis on ankle movement,Full body,stretch,3,,2.0,sec,,2-3 sets x 12-15 reps,,/exercise-photos/extensions-with-an-emphasis-on-ankle-movement/1.jpg,0,"Sufficient range of motion in the ankle is key to:

🦶 Correct technique of squatting, lunges and walking
🦶Prevention of knee and back pain - with limited movement in the ankle, compensation occurs in another part of the body
🦶Improving stability and balance
🦶Reducing the risk of injury (e.g. sprain)

➡️ It is recommended to include ankle mobility especially before lower body training. Perform the exercises slowly, with control and focus on forward movement (dorsal flexion).

Target area: ankle mobility

Excellent for activating the ankles and calves. When lifting, focus on a slow, controlled movement. It will also help with balance and ankle stability. Can be performed on a mat or the edge of a step."
ankle-dorsiflexion-with-a-kettlebell,Ankle dorsiflexion with a kettlebell,Full body,stretch,3,,30,sec,,8-10 reps on each leg,,/exercise-photos/ankle-dorsiflexion-with-a-kettlebell/1.jpg,0,"Target area: ankle mobility

Place a barbell on your knee and gently push forward. Increases range of motion and stability. Pay attention to the correct axis of the foot."
endurance-in-a-deep-squat,Endurance in a deep squat,Full body,stretch,3,,30.0,sec,,30-60 seconds,,/exercise-photos/endurance-in-a-deep-squat/1.jpg,0,"Target area: ankle mobility

Combines ankle and hip mobility. Make sure your heels stay on the ground. If range is limited, use a heel wedge. It will help improve your squatting position."
toe-tapping-on-the-wall,Toe tapping on the wall,Full body,stretch,3,,30,sec,,8-10 reps on each leg,,,,"Target area: Ankle (dorsiflexion)

Try to keep the entire sole of your foot on the ground. Move only to the point where there is no heel lift. Gradually move your leg further away from the wall."
deep-lunge,Deep lunge,Full body,stretch,3,,2.0,sec,,2-3 sets x 30-40 s each leg,,/exercise-photos/deep-lunge/1.jpg | /exercise-photos/deep-lunge/2.jpg,0,"Well-moving hips are the basis of healthy and efficient movement. With their limited mobility, they often compensate in the knees or hips, which can lead to overload and pain.

💡 Benefits of hip mobilization:

🦵Improving range of motion in the squat, lunge and deadlift
🦵Better activation of the buttocks and reduced risk of lower back pain
🦵 Greater stability and control in movement

Recommended to include before lower body training or as part of a mobility routine.

Target area: hip mobility

Stretches the hip flexors (mainly the iliopsoas muscle). Leaning increases the intensity."
seated-hip-rotation-hands-in-front,Seated hip rotation hands in front,Full body,stretch,3,,30,sec,,8-10 reps each side,,/exercise-photos/seated-hip-rotation-hands-in-front/1.jpg,0,"Target area: hip mobility

Exercise in the 90-90 position. Actively roll your legs from one side to the other - keep your chest upright. Suitable for checking rotation in the hip."
seated-hip-rotation-in-90-90-position-with-hand-support,Seated hip rotation In 90-90 position with hand support,Full body,stretch,3,,30,sec,,8-10 reps each side,,/exercise-photos/seated-hip-rotation-in-90-90-position-with-hand-support/1.jpg,0,"Target area: hip mobility

Hand support helps balance. Actively roll your legs from one side to the other - keep your chest upright"
deep-squat-we-move-the-knees-apart-with-the-arms,Deep squat (we move the knees apart with the arms),Full body,stretch,3,,30.0,sec,,30-60 seconds,,/exercise-photos/deep-squat-we-move-the-knees-apart-with-the-arms/1.jpg,0,"Target area: hip mobility

Actively staying in the lower squat position, elbows gently push the knees apart. It helps loosen the hips while keeping the torso upright. The heels stay on the ground."
endurance-in-a-deep-squat-2,Endurance in a deep squat,Full body,stretch,3,,30.0,sec,,30-60 seconds,,/exercise-photos/endurance-in-a-deep-squat-2/1.jpg,0,"Target area: hip mobility

The exercise combines mobility of the hips, ankles and trunk stability. Make sure that the pelvis is not lowered, keep the natural curve of the back. It will help prepare the body for squats."
trunk-rotation-in-a-deep-squat,Trunk rotation in a deep squat,Full body,stretch,3,,30,sec,,5-6 reps on each side,,/exercise-photos/trunk-rotation-in-a-deep-squat/1.jpg,0,"Target area: hip mobility

Start in a deep squat, one hand resting on the ground, the other rotating upwards. Follow the hand with your eyes. Excellent for combining hip mobility and spine rotation. Breathe slowly and consciously."
dynamic-frog-stretching-frog-rocking-i-move-forward-and-backward,Dynamic frog stretching (Frog Rocking) - I move forward and backward,Full body,stretch,3,,30,sec,,8-12 slow forward/backward movements,,/exercise-photos/dynamic-frog-stretching-frog-rocking-i-move-forward-and-backward/1.jpg | /exercise-photos/dynamic-frog-stretching-frog-rocking-i-move-forward-and-backward/2.jpg,0,"Target area: hip mobility

Great for opening the hips into abduction. Keep your knees wide, pelvis in neutral. Move in a controlled manner, it must not hurt in the groin."
leg-swings,Leg swings,Full body,stretch,3,,30,sec,,10-15 reps each leg,,/exercise-photos/leg-swings/1.jpg | /exercise-photos/leg-swings/2.jpg,0,"Target area: hip mobility

A dynamic movement that activates the hip joints and prepares them for running, squats or lunges. Keep your core tight."
lunges-to-the-sides,Lunges to the sides,Full body,stretch,3,,30,sec,,6-10 reps on each side,,/exercise-photos/lunges-to-the-sides/1.jpg | /exercise-photos/lunges-to-the-sides/2.jpg,0,"Target area: hip mobility

Opens the inner thighs and improves control of movement in the lateral direction. Keep your torso straight and your knee over your toe. Slowly move from one side to the other."
hip-mobility-cars-controlled-movements,"Hip mobility, CARs controlled movements",Full body,stretch,1,,30,sec,,,,,,"2-3 reps each leg (1 slow circle forward and back)
Active full rotation of the hip joint. Slowly, with maximum control and without trunk compensation. Improves coordination and activation."
shoulder-rotation,Shoulder rotation,Full body,stretch,3,,30,sec,,10-15 repetitions,,/exercise-photos/shoulder-rotation/1.jpg | /exercise-photos/shoulder-rotation/2.jpg | /exercise-photos/shoulder-rotation/3.jpg,0,"The shoulders and thoracic spine are key to:

🤸‍♀️ Correct body posture and technique of push and pull exercises (e.g. push-ups, push-ups, pull-ups)
🤸‍♀️Full range of motion when raising your arms above your head
🤸 ♀️ Prevention of pain in the cervical spine, shoulder blades and shoulders
🤸‍♀️Increasing the stability of the scapula and activating the deeper muscles of the torso

⚠️ Most clients (especially those who work at the computer) have stiff shoulders and a blocked chest → before strength training, the area needs to be opened and moved.

Recommended especially before upper body training, stretching and pressure exercises.

Target area: shoulder mobility

A warming and relaxing movement. Perform to the full extent, slowly. Pay attention to the flexion of the shoulder blades."
dislocation-of-the-shoulders-with-bar-or-rubber,Dislocation of the shoulders (with bar or rubber),Full body,stretch,3,,30,sec,,6-10 repetitions,,/exercise-photos/dislocation-of-the-shoulders-with-bar-or-rubber/1.jpg | /exercise-photos/dislocation-of-the-shoulders-with-bar-or-rubber/2.jpg | /exercise-photos/dislocation-of-the-shoulders-with-bar-or-rubber/3.jpg,0,"Target area: shoulder mobility

Keep your back straight and your arms bent. Basic shoulder opening exercise, very effective before pressure exercises."
arm-circling-against-the-wall,Arm circling against the wall,Full body,stretch,3,,30,sec,,5-6 rings each hand,,/exercise-photos/arm-circling-against-the-wall/1.jpg | /exercise-photos/arm-circling-against-the-wall/2.jpg | /exercise-photos/arm-circling-against-the-wall/3.jpg,0,"Target area: shoulder mobility

For the more advanced - activates the blade stabilizers. Keep your back and ribs against the wall, we guide your arms in an arc with minimal compensation. Great for push-ups and pull-ups."
cars-controlled-shoulder-joint-rotations,CARs – controlled shoulder joint rotations,Full body,stretch,3,,30,sec,,1-2 slow circles in each direction / each arm,,/exercise-photos/cars-controlled-shoulder-joint-rotations/1.jpg,0,"Target area: shoulder mobility

Slowly guide the arm through the maximum possible range of motion, without compensating with the torso. Keep your core active. Excellent for conscious joint control."
shoulder-mobilization-with-a-roller,Shoulder mobilization with a roller,Full body,stretch,3,,30.0,sec,,30-60 seconds,,/exercise-photos/shoulder-mobilization-with-a-roller/1.jpg,0,"Target area: shoulder mobility

Opens the shoulder and chest area. Place your palms on the roller and move forward with exhalation.  Don't slouch at the hips. Also suitable as a recovery exercise."
shoulder-mobilization-with-bench-support,Shoulder mobilization with bench support,Full body,stretch,1,,30,sec,,,,/exercise-photos/shoulder-mobilization-with-bench-support/1.jpg | /exercise-photos/shoulder-mobilization-with-bench-support/2.jpg,0,"Target area: Mobility of shoulders & thoracic spine

Resting her hands on a bench (or chair), she pressed her chest down towards the ground. You can hold a figure eight or a bar. Pay attention to an active abdomen and smooth breathing."
cat-s-back,Cat's back,Full body,stretch,3,,30,sec,,6-10 slow reps,,/exercise-photos/cat-s-back/1.jpg | /exercise-photos/cat-s-back/2.jpg,0,"Target area: mobility of the thoracic spine

Slowly transition between slouching and arching your spine. Breathe deeply, move with the rhythm of your breath. It relaxes the spine from the neck to the hips."
chest-rotation-on-all-fours-threading-the-needle,Chest rotation on all fours - Threading the needle,Full body,stretch,3,,30,sec,,6-8 reps on each side,,/exercise-photos/chest-rotation-on-all-fours-threading-the-needle/1.jpg | /exercise-photos/chest-rotation-on-all-fours-threading-the-needle/2.jpg,0,"Target area: mobility of the thoracic spine

Active trunk rotation, head follows movement. Improves rotation between shoulder blades. Move slowly, with control."
